Date,Price,Open,High,Low,Vol.,Change %
4-Mar-18,11501.00,"11,454.00","11,544.00","11,061.00",28.07K,0.53%
5-Mar-18,11416.00,"11,497.00","11,696.00","11,390.00",27.56K,-0.74%
6-Mar-18,10720.00,"11,403.00","11,403.00","10,578.00",44.24K,-6.10%
7-Mar-18,9902.90,"10,779.00","10,899.00","9,422.10",75.22K,-7.62%
8-Mar-18,9300.00,"9,910.70","10,109.00","9,037.00",67.75K,-6.09%
9-Mar-18,9217.00,"9,301.90","9,420.50","8,351.00",98.20K,-0.89%
10-Mar-18,8762.00,"9,216.20","9,500.00","8,691.10",52.54K,-4.94%
11-Mar-18,9528.00,"8,764.40","9,726.10","8,429.00",70.48K,8.74%
12-Mar-18,9121.00,"9,528.00","9,894.70","8,776.80",67.58K,-4.27%
13-Mar-18,9135.00,"9,130.20","9,479.00","8,827.70",61.54K,0.15%
14-Mar-18,8186.60,"9,135.20","9,400.10","7,923.80",78.81K,-10.38%
15-Mar-18,8252.90,"8,181.30","8,416.70","7,666.30",82.58K,0.81%
16-Mar-18,8251.00,"8,250.10","8,602.70","7,903.20",56.34K,-0.02%
17-Mar-18,7851.00,"8,250.00","8,350.10","7,729.50",48.97K,-4.85%
18-Mar-18,8200.20,"7,832.00","8,285.60","7,240.00",88.92K,4.45%
19-Mar-18,8600.10,"8,209.00","8,689.90","8,100.00",73.28K,4.88%
20-Mar-18,8899.70,"8,600.20","9,025.00","8,309.60",54.28K,3.48%
21-Mar-18,8900.10,"8,899.80","9,175.20","8,755.70",42.86K,0.00%
22-Mar-18,8706.40,"8,888.60","9,088.00","8,453.10",54.42K,-2.18%
23-Mar-18,8908.00,"8,703.80","8,910.00","8,272.80",44.91K,2.32%
24-Mar-18,8535.00,"8,911.40","9,040.20","8,463.00",44.21K,-4.19%
25-Mar-18,8445.10,"8,525.00","8,673.90","8,373.00",30.69K,-1.05%
26-Mar-18,8119.10,"8,445.00","8,496.40","7,839.10",56.38K,-3.86%
27-Mar-18,7784.50,"8,128.00","8,209.00","7,727.00",50.41K,-4.12%
28-Mar-18,7936.10,"7,784.50","8,118.00","7,725.00",35.08K,1.95%
29-Mar-18,7094.00,"7,936.00","7,963.90","6,897.20",77.41K,-10.61%
30-Mar-18,6840.40,"7,091.50","7,267.30","6,533.00",108.25K,-3.57%
31-Mar-18,6925.30,"6,838.10","7,221.90","6,782.90",68.02K,1.24%
1-Apr-18,6810.00,"6,925.40","7,035.10","6,432.40",54.90K,-1.66%
2-Apr-18,7052.70,"6,813.10","7,121.40","6,770.20",44.01K,3.56%
3-Apr-18,7405.60,"7,073.80","7,509.60","7,020.00",49.86K,5.00%
4-Apr-18,6785.90,"7,403.30","7,422.00","6,670.00",53.72K,-8.37%
5-Apr-18,6765.00,"6,785.80","6,911.00","6,571.90",45.85K,-0.31%
6-Apr-18,6610.20,"6,767.20","6,851.50","6,501.10",42.14K,-2.29%
7-Apr-18,6892.60,"6,610.00","7,075.40","6,599.90",40.61K,4.27%
8-Apr-18,7023.90,"6,892.60","7,114.80","6,883.00",29.33K,1.90%
9-Apr-18,6764.60,"7,024.00","7,187.40","6,611.00",75.96K,-3.69%
10-Apr-18,6839.30,"6,770.90","6,890.60","6,650.00",26.15K,1.10%
11-Apr-18,6943.10,"6,839.30","6,975.70","6,795.00",29.54K,1.52%
12-Apr-18,7912.00,"6,944.00","8,083.70","6,761.30",94.57K,13.95%
13-Apr-18,7885.80,"7,915.20","8,230.00","7,746.00",59.91K,-0.33%
14-Apr-18,8002.90,"7,885.80","8,182.00","7,820.70",26.52K,1.48%
15-Apr-18,8354.10,"8,003.00","8,426.30","7,997.20",31.90K,4.39%
16-Apr-18,8056.20,"8,354.80","8,415.00","7,900.30",37.56K,-3.57%
