Date,Price,Open,High,Low,Vol.,Change %
30-Oct-16,0.00802,0.00773,0.00844,0.00759,2.24M,3.76%
31-Oct-16,0.00798,0.00802,0.00841,0.0079,542.25K,-0.55%
1-Nov-16,0.00803,0.00798,0.0084,0.00784,665.35K,0.61%
2-Nov-16,0.00823,0.00803,0.00836,0.00791,209.76K,2.45%
3-Nov-16,0.00814,0.00823,0.00844,0.008,810.56K,-0.97%
4-Nov-16,0.0082,0.00814,0.00829,0.00808,64.18K,0.68%
5-Nov-16,0.00821,0.0082,0.00832,0.00815,146.89K,0.12%
6-Nov-16,0.00807,0.00821,0.00835,0.00807,126.52K,-1.71%
7-Nov-16,0.00826,0.00807,0.0083,0.00801,111.50K,2.35%
8-Nov-16,0.00826,0.00826,0.00848,0.00802,320.97K,0.00%
9-Nov-16,0.00818,0.00826,0.00835,0.00775,728.57K,-1.02%
10-Nov-16,0.00815,0.00818,0.00827,0.00805,186.14K,-0.32%
11-Nov-16,0.00802,0.00815,0.00819,0.00787,85.20K,-1.62%
12-Nov-16,0.00811,0.00802,0.00827,0.00798,244.10K,1.10%
13-Nov-16,0.00803,0.00811,0.00815,0.0079,127.57K,-1.00%
14-Nov-16,0.00808,0.00803,0.00815,0.00792,273.44K,0.64%
15-Nov-16,0.00771,0.0079,0.00801,0.00771,507.21K,-4.57%
16-Nov-16,0.0077,0.00771,0.00815,0.0076,895.29K,-0.13%
17-Nov-16,0.00781,0.0077,0.0079,0.0076,456.48K,1.42%
18-Nov-16,0.0078,0.00781,0.00781,0.0076,20.28K,-0.12%
19-Nov-16,0.00769,0.0078,0.0078,0.0076,289.05K,-1.42%
20-Nov-16,0.00765,0.00769,0.00769,0.0073,691.29K,-0.51%
21-Nov-16,0.0074,0.00765,0.00766,0.0074,201.19K,-3.27%
22-Nov-16,0.00738,0.0074,0.00757,0.0072,676.11K,-0.30%
23-Nov-16,0.00704,0.00738,0.0074,0.00686,647.35K,-4.51%
24-Nov-16,0.00687,0.00704,0.00714,0.00675,948.07K,-2.48%
25-Nov-16,0.00682,0.00687,0.00697,0.00677,279.94K,-0.74%
26-Nov-16,0.00697,0.00682,0.00697,0.00675,5.58K,2.23%
27-Nov-16,0.00685,0.00697,0.00704,0.00678,147.81K,-1.81%
28-Nov-16,0.00676,0.00685,0.00704,0.00676,101.98K,-1.23%
29-Nov-16,0.00672,0.00676,0.00687,0.00672,171.74K,-0.61%
30-Nov-16,0.00679,0.00672,0.00686,0.00651,155.27K,1.12%
1-Dec-16,0.0066,0.00679,0.00704,0.00654,285.32K,-2.81%
2-Dec-16,0.00656,0.0066,0.0067,0.00644,1.00M,-0.70%
3-Dec-16,0.00666,0.00656,0.00669,0.00653,351.08K,1.49%
4-Dec-16,0.00642,0.00666,0.00666,0.00642,233.80K,-3.50%
5-Dec-16,0.0063,0.00642,0.00657,0.0063,70.00K,-1.85%
6-Dec-16,0.0067,0.0063,0.0067,0.0063,320.97K,6.28%
7-Dec-16,0.007,0.0067,0.0071,0.00645,333.13K,4.48%
8-Dec-16,0.007,0.007,0.00729,0.00681,231.28K,0.00%
9-Dec-16,0.00693,0.007,0.00724,0.0068,93.72K,-0.93%
10-Dec-16,0.00674,0.00693,0.00695,0.00666,167.35K,-2.73%
11-Dec-16,0.00677,0.00674,0.00679,0.0066,107.00K,0.36%
12-Dec-16,0.0067,0.00677,0.00681,0.0067,46.05K,-0.98%
13-Dec-16,0.00669,0.0067,0.00682,0.00656,479.97K,-0.16%
14-Dec-16,0.00679,0.00669,0.00683,0.00656,32.91K,1.48%
15-Dec-16,0.00663,0.00679,0.00679,0.00654,178.80K,-2.27%
16-Dec-16,0.00669,0.00663,0.00685,0.00649,245.64K,0.90%
